PARCELA;SUB-PARCELA ;ESTRATO;IND. No.;NOMBRE COMUN;NOMBRE CIENTIFICO;FAMILIA;ALTURA TOTAL (m);ALTURA COMERCIAL  (m);CAP (cm);DAP (m);A.B. TOTAL (m2);V. COMERCIAL (m3);V. TOTAL (m3);DIAM. COPA X (m);DIAM. COPA Y (m);COORDENADA E;COORDENADA N
3r;5;Fustal;38;Carne gallina;Dendropanax arboreus (L.) Decne. & Planch.;Araliaceae;13;10;64;0,20;0,0326;0,2119;0,2754;7;7;962886,7386;912975,505
3r;6;Fustal;39;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;16;10;55;0,18;0,0241;0,1565;0,2504;6;6;962871,7461;912982,8829
3r;6;Fustal;40;Uvero;Coccoloba caracasana Meisn.;Polygonaceae;14;10;130;0,41;0,1345;0,8742;1,2238;7;7;962871,1907;912982,8831
3r;6;Fustal;41;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;12;8;40;0,13;0,0127;0,0662;0,0993;6;5;962870,0803;912983,9893
3r;6;Fustal;42;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;14;10;48;0,15;0,0183;0,1192;0,1668;7;8;962870,2654;912983,8049
3r;7;Fustal;43;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;13;9;45;0,14;0,0161;0,0943;0,1362;6;7;962877,6691;912980,116
3r;7;Fustal;44;Laurel;Ocotea cf. puberula (Rich.) Nees;Lauraceae;17;12;99;0,32;0,0780;0,6084;0,8618;8;8;962880,0808;912993,0162
3r;7;Fustal;45;Merecure;Licania leucosepala Griseb.;Chrysobalanaceae;15;10;67;0,21;0,0357;0,2322;0,3483;6;7;962886,9302;912992,2764
3r;7;Fustal;46;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;4,5;3;46;0,15;0,0168;0,0328;0,0493;1;1,4;962876,5554;912972,5601
3r;7;Fustal;47;Palma cumare;Astrocaryum chambira Burret;Arecaceae;16;12;55;0,18;0,0241;0,1878;0,2504;6;6;962874,3338;912972,3767
